metadata;file;mappings;datatype;Sample
id;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Dataset_Identification/IDENTIFIER/text();String;SENTINEL2A_20160804-100613-199_L2A_T33UVQ_C
type;static;Feature;String;Feature
bbox;**/SENTINEL2*_MTD_ALL.xml;concat('[', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[1]/LON, ',',  /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[1]/LAT, ',',  /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[3]/LON, ',',  /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[3]/LAT, ']');String;[-121.886623776297881,38.4370596071495427,-122.392817962696597,37.9942754555882019]
geometry_type;static;Polygon;String;Polygon
coordinates;**/SENTINEL2*_MTD_ALL.xml;concat('[[[', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[1]/LON,',', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[1]/LAT, '],[', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[2]/LON,',', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[2]/LAT, '],[', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[3]/LON,',', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[3]/LAT, '],[', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[4]/LON,',', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[4]/LAT, '],[', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[5]/LON,',', /Muscate_Metadata_Document/Geoposition_Informations/Geopositioning/Global_Geopositioning/Point[5]/LAT,']]]');String;
version;static;1;String;1
title;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/PRODUCT_ID/text();String;SENTINEL2A_20160804-100613-199_L2A_T33UVQ_C_V1-0
datetime;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/ACQUISITION_DATE/text();DateTimeOffset;2016-08-04T10:06:13.199Z
start_datetime;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Production_Informations/Processing_Jobs_List/Job/Products_List/Inputs_List/PRODUCT/ACQUISITION_DATE/text();DateTimeOffset;2016-08-04T10:00:32.026Z
end_datetime;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Production_Informations/Processing_Jobs_List/Job/Products_List/Inputs_List/PRODUCT/ACQUISITION_DATE/text();DateTimeOffset;2016-08-04T10:00:32.026Z
created;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/PRODUCTION_DATE/text();DateTimeOffset;2016-08-04T10:06:13.000000Z
updated;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/PRODUCTION_DATE/text();DateTimeOffset;2016-08-04T10:06:13.000000Z
published;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Production_Informations/Processing_Jobs_List/Job/END_PRODUCTION_DATE/text();DateTimeOffset;2016-08-04T10:06:13.000000Z
expires;static;;;--
sci:doi;static;;;--
platform;**/SENTINEL2*_MTD_ALL.xml;/Muscate_Metadata_Document/Product_Characteristics/PLATFORM/text();String;SENTINEL2A
