ProductType;RuleName;ESAProductType
S1_AUX_CAL;S1_AUX;AUX_CAL
S1_AUX_INS;S1_AUX;AUX_INS
S1_EN_RAW__0S;S1_0S0A;EN_RAW__0S
S1_EW_GRDH_1A;S1_L1L2;EW_GRDH_1A
S1_EW_GRDH_1S;S1_L1L2;EW_GRDH_1S
S1_EW_GRDM_1A;S1_L1L2;EW_GRDM_1A
S1_EW_GRDM_1S;S1_L1L2;EW_GRDM_1S
S1_EW_OCN__2A;S1_L1L2;EW_OCN__2A
S1_EW_RAW__0A;S1_0S0A;EW_RAW__0A
S1_EW_RAW__0C;S1_0C;EW_RAW__0C
S1_EW_RAW__0N;S1_0N;EW_RAW__0N
S1_EW_RAW__0S;S1_0S0A;EW_RAW__0S
S1_EW_SLC__1A;S1_L1L2;EW_SLC__1A
S1_EW_SLC__1S;S1_L1L2;EW_SLC__1S
S1_IW_GRDH_1A;S1_L1L2;IW_GRDH_1A
S1_IW_GRDH_1S;S1_L1L2;IW_GRDH_1S
S1_IW_OCN__2A;S1_L1L2;IW_OCN__2A
S1_IW_OCN__2S;S1_L1L2;IW_OCN__2S
S1_IW_RAW__0A;S1_0S0A;IW_RAW__0A
S1_IW_RAW__0C;S1_0C;IW_RAW__0C
S1_IW_RAW__0N;S1_0N;IW_RAW__0N
S1_IW_SLC__1A;S1_L1L2;IW_SLC__1A
S1_IW_SLC__1S;S1_L1L2;IW_SLC__1S
S1_AMH_ERRMAT;AUX_EOF;AMH_ERRMAT
S1_AUX_RESATT;AUX_EOF;AUX_RESATT
S1_S1_GRDH_1A;S1_L1L2;S1_GRDH_1A
S1_S1_GRDH_1S;S1_L1L2;S1_GRDH_1S
S1_S1_OCN__2A;S1_L1L2;S1_OCN__2A
S1_S1_OCN__2S;S1_L1L2;S1_OCN__2S
S1_S1_RAW__0A;S1_0S0A;S1_RAW__0A
S1_S1_RAW__0C;S1_0C;S1_RAW__0C
S1_S1_RAW__0N;S1_0N;S1_RAW__0N
S1_S1_RAW__0S;S1_0S0A;S1_RAW__0S
S1_S1_SLC__1A;S1_L1L2;S1_SLC__1A
S1_S1_SLC__1S;S1_L1L2;S1_SLC__1S
S1_S2_OCN__2A;S1_L1L2;S2_OCN__2A
S1_S2_SLC__1A;S1_L1L2;S2_SLC__1A
S1_S3_GRDH_1A;S1_L1L2;S3_GRDH_1A
S1_S3_GRDH_1S;S1_L1L2;S3_GRDH_1S
S1_S3_OCN__2A;S1_L1L2;S3_OCN__2A
S1_S3_OCN__2S;S1_L1L2;S3_OCN__2S
S1_S3_RAW__0A;S1_0S0A;S3_RAW__0A
S1_S3_RAW__0C;S1_0C;S3_RAW__0C
S1_S3_RAW__0N;S1_0N;S3_RAW__0N
S1_S3_RAW__0S;S1_0S0A;S3_RAW__0S
S1_S3_SLC__1A;S1_L1L2;S3_SLC__1A
S1_S3_SLC__1S;S1_L1L2;S3_SLC__1S
S1_S4_GRDH_1A;S1_L1L2;S4_GRDH_1A
S1_S4_GRDH_1S;S1_L1L2;S4_GRDH_1S
S1_S4_OCN__2A;S1_L1L2;S4_OCN__2A
S1_S4_OCN__2S;S1_L1L2;S4_OCN__2S
S1_S4_RAW__0A;S1_0S0A;S4_RAW__0A
S1_S4_RAW__0C;S1_0C;S4_RAW__0C
S1_S4_RAW__0N;S1_0N;S4_RAW__0N
S1_S4_RAW__0S;S1_0S0A;S4_RAW__0S
S1_S4_SLC__1A;S1_L1L2;S4_SLC__1A
S1_S4_SLC__1S;S1_L1L2;S4_SLC__1S
S1_S5_GRDH_1S;S1_L1L2;S5_GRDH_1S
S1_S5_OCN__2S;S1_L1L2;S5_OCN__2S
S1_S5_RAW__0A;S1_0S0A;S5_RAW__0A
S1_S5_RAW__0C;S1_0C;S5_RAW__0C
S1_S5_RAW__0N;S1_0N;S5_RAW__0N
S1_S5_RAW__0S;S1_0S0A;S5_RAW__0S
S1_S5_SLC__1S;S1_L1L2;S5_SLC__1S
S1_S6_GRDH_1S;S1_L1L2;S6_GRDH_1S
S1_S6_OCN__2S;S1_L1L2;S6_OCN__2S
S1_S6_RAW__0A;S1_0S0A;S6_RAW__0A
S1_S6_RAW__0C;S1_0C;S6_RAW__0C
