metadata;file;mappings;datatype
gml:beginPosition;MTD_MSIL[12][ABC].xml;//PRODUCT_START_TIME/text();DateTimeOffset
gml:endPosition;MTD_MSIL[12][ABC].xml;//PRODUCT_STOP_TIME/text();DateTimeOffset
gml:timePosition;MTD_MSIL[12][ABC].xml;//GENERATION_TIME/text();DateTimeOffset
eop:platformShortName;MTD_MSIL[12][ABC].xml;substring(//SPACECRAFT_NAME/text(),1,10);String
eop:platformSerialIdentifier;MTD_MSIL[12][ABC].xml;substring(//PRODUCT_URI/text(),3,1);String
eop:instrumentShortName;MTD_MSIL[12][ABC].xml;substring(//PRODUCT_TYPE/text(), 3, 3);String
eop:orbitNumber;manifest.safe;//safe:orbitNumber[@type="start"]/text();Int64
eop:relativeOrbitNumber;MTD_MSIL[12][ABC].xml;//SENSING_ORBIT_NUMBER/text();Int64
eop:orbitDirection;MTD_MSIL[12][ABC].xml;//SENSING_ORBIT_DIRECTION/text();String
srs;MTD_MSIL[12][ABC].xml;//Coordinate_Reference_System/GEO_TABLES/text();String
eop:orbitDirection;MTD_MSIL[12][ABC].xml;//SENSING_ORBIT_DIRECTION/text();String
opt:cloudCoverPercentage;MTD_MSIL[12][ABC].xml;//Cloud_Coverage_Assessment/text();Double
eop:productType;MTD_MSIL[12][ABC].xml;//PRODUCT_TYPE/text();String
eop:acquisitionDate;MTD_MSIL[12][ABC].xml;//DATATAKE_SENSING_START/text();DateTimeOffset
eop:acquisitionStation;MTD_DS.xml;//RECEPTION_STATION/text();String
eop:archivingIdentifier;MTD_MSIL[12][ABC].xml;//Datatake/@datatakeIdentifier/text();String
eop:archivingCenter;MTD_TL.xml;//ARCHIVING_CENTRE/text();String
eop:archivingDate;MTD_TL.xml;//ARCHIVING_TIME/text();DateTimeOffset
eop:processingCenter;MTD_MSIL[12][ABC].xml;//PROCESSING_CENTER/text();String
eop:processorVersion;MTD_MSIL[12][ABC].xml;//PROCESSING_BASELINE/text();String
eop:processingLevel;MTD_MSIL[12][ABC].xml;substring-after(//PROCESSING_LEVEL/text(), "-");String
eop:nativeProductFormat;MTD_MSIL[12][ABC].xml;//PRODUCT_FORMAT/text();String
eop:tileId;MTD_MSIL[12][ABC].xml;substring(//PRODUCT_URI/text(),40,5);String
s2msi:productUri;MTD_MSIL[12][ABC].xml;//PRODUCT_URI/text();String
s2msi:dataTakeType;MTD_MSIL[12][ABC].xml;//DATATAKE_TYPE/text();String
s2msi:reflectanceConversion;MTD_MSIL[12][ABC].xml;//Reflectance_Conversion/U/text();Double
s2msi:productionDEMtype;MTD_MSIL[12][ABC].xml;//PRODUCTION_DEM_TYPE/text();String
s2msi:degradedANCdataPercentage;MTD_MSIL[12][ABC].xml;//DEGRADED_ANC_DATA_PERCENTAGE/text();Double
s2msi:degradedMSIdataPercentage;MTD_MSIL[12][ABC].xml;//DEGRADED_MSI_DATA_PERCENTAGE/text();Double
eop:processingDate;MTD_MSIL[12][ABC].xml;//Product_Info/GENERATION_TIME/text();DateTimeOffset
s2msi:datastripId;MTD_MSIL[12][ABC].xml;//Granule/@datastripIdentifier;String
s2msi:granuleIdentifier;MTD_MSIL[12][ABC].xml;//Granule/@granuleIdentifier;String
s2msi:productGroupId;MTD_MSIL[12][ABC].xml;//Datatake/@datatakeIdentifier;String
s2msi:illuminationZenithAngle;MTD_TL.xml;//Mean_Sun_Angle/AZIMUTH_ANGLE/text();Double
s2msi:cloudyPixelPercentage;MTD_TL.xml;//CLOUDY_PIXEL_PERCENTAGE/text();Double
s2msi:tileId;MTD_TL.xml;//TILE_ID/text();String
s2msi:qualityStatus;MTD_MSIL[12][ABC].xml;map(concat(//quality_check[1]/text(),'+',//quality_check[2]/text(),'+',//quality_check[3]/text(),'+',//quality_check[4]/text()),'{"PASSED+PASSED+PASSED+PASSED":"NOMINAL","default":"DEGRADED"}');String
s2msi:qualityFlags;MTD_MSIL[12][ABC].xml;concat(//quality_check[1]/text(),'+',//quality_check[2]/text(),'+',//quality_check[3]/text(),'+',//quality_check[4]/text());String
eop:browse;MTD_TL.xml;concat('#',//PVI_FILENAME/text());String
coordinates;MTD_MSIL[12][ABC].xml;WKT(//Global_Footprint/EXT_POS_LIST/text());String
eop:sensorType;static;OPTICAL;String
eop:instrumentType;static;OPTICAL;String
eop:instrumentDescription;static;Multi Spectral Instrument (MSI);String
eop:sensorResolution;static;10;Int64
eop:platformOrbitType;static;LEO;String
eop:acquisitionType;static;NOMINAL;String
eop:status;static;ARCHIVED;String
