metadata;file;mappings;datatype
productGroupId;Inventory_Metadata.xml;//general:Group_ID/text();String
processorVersion;Inventory_Metadata.xml;//general:File_Version/text();String
processingDate;Inventory_Metadata.xml;//general:Generation_Time/text();DateTimeOffset
beginningDateTime;Inventory_Metadata.xml;//general:Validity_Start/text();DateTimeOffset
endingDateTime;Inventory_Metadata.xml;//general:Validity_Stop/text();DateTimeOffset
orbitNumber;Inventory_Metadata.xml;//general:Start_Orbit_Number/text();Int64
coordinates;Inventory_Metadata.xml;geo_pnt2wkt(//*[local-name()='Geographic_Localization']/*[local-name()='List_Of_Geo_Pnt']/*[local-name()='Geo_Pnt']);Geography
qualityStatus;Inventory_Metadata.xml;map(//general:Quality_Info,'{"100.0":"NOMINAL","default":"DEGRADED"}');String
qualityInfo;Inventory_Metadata.xml;//general:Quality_Info/text();Double
productType;Inventory_Metadata.xml;//general:File_Type/text();String
instrumentShortName;Inventory_Metadata.xml;//general:Sensor_Code/text();String
processingCenter;Inventory_Metadata.xml;//general:Processing_Station/text();String
platformSerialIdentifier;Inventory_Metadata.xml;substring(//general:Satellite_Code/text(),3,1);String
datastripId;Inventory_Metadata.xml;//general:Parent_ID/text();String
cloudCover;Inventory_Metadata.xml;//general:CloudPercentage/text();Double
platformShortName;static;SENTINEL-2;String
tileId;Inventory_Metadata.xml;substring(//general:File_Name,50,6);String
illuminationZenithAngle;S2[ABCD]_OPER_MTD_L1[ABC]_*.xml;//n1:Geometric_Info/Tile_Angles/Mean_Sun_Angle/ZENITH_ANGLE/text();Double
illuminationAzimuthAngle;S2[ABCD]_OPER_MTD_L1[ABC]_*.xml;//n1:Geometric_Info/Tile_Angles/Mean_Sun_Angle/AZIMUTH_ANGLE/text();Double
