metadata;file;mappings;datatype
productType;xfdumanifest.xml;//sentinel3aux:generalProductInformation/sentinel3aux:fileType/text();String
timeliness;xfdumanifest.xml;//sentinel3aux:generalProductInformation/sentinel3aux:timeliness/text();String
baselineCollection;xfdumanifest.xml;//sentinel3aux:generalProductInformation/sentinel3aux:baselineCollection/text();String
platformShortName;xfdumanifest.xml;uppercase(//sentinel3aux:generalProductInformation/sentinel3aux:familyName);String
platformSerialIdentifier;xfdumanifest.xml;//sentinel3aux:generalProductInformation/sentinel3aux:number/text();String
beginningDateTime;xfdumanifest.xml;//sentinel3aux:generalProductInformation/sentinel3aux:validityStartTime/text();DateTimeOffset
endingDateTime;xfdumanifest.xml;//sentinel3aux:generalProductInformation/sentinel3aux:validityStopTime/text();DateTimeOffset
processingCenter;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/@site;String
processorName;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@name;String
processorVersion;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@version;String
