metadata;file;mappings;datatype
beginningDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:startTime/text();DateTimeOffset
endingDateTime;xfdumanifest.xml;//sentinel-safe:acquisitionPeriod/sentinel-safe:stopTime/text();DateTimeOffset
platformShortName;static;SENTINEL-3;String
platformSerialIdentifier;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:number/text();String
instrumentShortName;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:familyName/@abbreviation;String
operationalMode;xfdumanifest.xml;//sentinel-safe:platform/sentinel-safe:instrument/sentinel-safe:mode/text();String
productType;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:productType/text();String
timeliness;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:timeliness/text();String
baselineCollection;xfdumanifest.xml;//sentinel3:generalProductInformation/sentinel3:baselineCollection/text();String
salineWaterCover;xfdumanifest.xml;//slstr:slstrProductInformation/slstr:classificationSummary/sentinel3:salineWaterPixels/@percentage;Double
landCover;xfdumanifest.xml;//slstr:slstrProductInformation/slstr:classificationSummary/sentinel3:landPixels/@percentage;Double
coastalCover;xfdumanifest.xml;//slstr:slstrProductInformation/slstr:classificationSummary/sentinel3:coastalPixels/@percentage;Double
freshInlandWaterCover;xfdumanifest.xml;//slstr:slstrProductInformation/slstr:classificationSummary/sentinel3:freshInlandWaterPixels/@percentage;Double
tidalRegionCover;xfdumanifest.xml;//slstr:slstrProductInformation/slstr:classificationSummary/sentinel3:tidalRegionPixels/@percentage;Double
cloudCover;xfdumanifest.xml;//slstr:slstrProductInformation/slstr:classificationSummary/sentinel3:cloudyPixels/@percentage;Double
orbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber/text();Int64
orbitDirection;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[1]/@groundTrackDirection;uppercase
lastOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[2]/text();Int64
lastOrbitDirection;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:orbitNumber[2]/@groundTrackDirection;uppercase
relativeOrbitNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:relativeOrbitNumber/text();Int64
cycleNumber;xfdumanifest.xml;//sentinel-safe:orbitReference/sentinel-safe:cycleNumber/text();Int64
processingLevel;xfdumanifest.xml;//sentinel-safe:processing/@outputLevel;String
processingDate;xfdumanifest.xml;//sentinel-safe:processing/@start;DateTimeOffset
processingCenter;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/@site;String
processorName;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@name;String
processorVersion;xfdumanifest.xml;//sentinel-safe:processing/sentinel-safe:facility/sentinel-safe:software/@version;String
coordinates;xfdumanifest.xml;//sentinel-safe:frameSet/sentinel-safe:footPrint/gml:posList/text();WKT
